time,flux,filt,sample
9.750000000000853,-0.8922459562919656,g,1
9.791666666667506,-0.8948649670860185,g,1
9.833333333334185,-0.8974834428363181,g,1
9.875000000000842,-0.9001023620399735,g,1
9.91666666666752,-0.902720457337086,g,1
9.958333333334188,-0.9053384232172732,g,1
10.000000000000853,-0.9079565565168508,g,1
10.041666666667531,-0.9105736802055091,g,1
10.083333333334188,-0.9131908969441653,g,1
10.12500000000086,-0.9158079419463121,g,1
10.166666666667524,-0.9184248394746284,g,1
10.208333333334203,-0.9210408665562042,g,1
10.25000000000086,-0.9236570808101874,g,1
10.291666666667517,-0.926273011580097,g,1
10.333333333334203,-0.9288884468565648,g,1
10.375000000000867,-0.9315037204585437,g,1
10.416666666667531,-0.9341188985028168,g,1
10.458333333334195,-0.936734077048154,g,1
10.500000000000867,-0.9393479058379626,g,1
10.541666666667531,-0.9419621608170985,g,1
10.583333333334203,-0.9445760124015763,g,1
10.625000000000867,-0.94718889574645,g,1
10.666666666667538,-0.9498023755818963,g,1
10.70833333333421,-0.9524150580797404,g,1
10.750000000000867,-0.9550276378305682,g,1
10.791666666667531,-0.9576393697637329,g,1
10.83333333333421,-0.9602511279363988,g,1
10.875000000000888,-0.9628624500456837,g,1
10.916666666667545,-0.9654733596039797,g,1
10.958333333334203,-0.9680841308266395,g,1
11.000000000000881,-0.9706944636826336,g,1
11.041666666667545,-0.9733039539528825,g,1
11.08333333333421,-0.9759134574322346,g,1
11.125000000000881,-0.9785225920559064,g,1
11.166666666667545,-0.9811318549823831,g,1
11.208333333334217,-0.983739905148127,g,1
11.250000000000895,-0.9863476294653211,g,1
11.291666666667545,-0.9889551046299125,g,1
11.333333333334224,-0.9915622511414561,g,1
11.375000000000902,-0.9941691485110802,g,1
11.41666666666756,-0.9967751844505699,g,1
11.458333333334217,-0.9993810943959218,g,1
11.500000000000895,-1.0019862885743223,g,1
11.541666666667567,-1.004591761535945,g,1
11.583333333334231,-1.0071959518370548,g,1
11.625000000000902,-1.0098001634237157,g,1
11.66666666666756,-1.0124037202649703,g,1
11.708333333334245,-1.0150071984685702,g,1
11.750000000000902,-1.0176097794177679,g,1
11.791666666667574,-1.0202121637417925,g,1
11.833333333334245,-1.022813986639644,g,1
11.875000000000917,-1.0254155521963568,g,1
11.916666666667567,-1.0280163310106687,g,1
11.958333333334238,-1.0306171394351047,g,1
12.00000000000091,-1.0332169270207068,g,1
12.041666666667574,-1.0358164762846371,g,1
12.083333333334238,-1.0384156180506103,g,1
12.125000000000917,-1.0410139783492305,g,1
12.166666666667588,-1.0436122331511264,g,1
12.20833333333426,-1.0462098896086651,g,1
12.25000000000091,-1.0488066476607258,g,1
12.291666666667574,-1.0514034928485287,g,1
12.333333333334252,-1.053999493944307,g,1
12.375000000000917,-1.0565950705719267,g,1
12.416666666667581,-1.059190080306248,g,1
12.45833333333426,-1.0617850368840784,g,1
12.500000000000924,-1.0643787442834345,g,1
12.541666666667588,-1.066972191758616,g,1
12.583333333334252,-1.0695655387676481,g,1
12.62500000000093,-1.0721578961311167,g,1
12.666666666667588,-1.0747496393695393,g,1
12.708333333334267,-1.0773411901538203,g,1
12.750000000000924,-1.079932065803085,g,1
12.791666666667588,-1.0825225625637707,g,1
12.83333333333426,-1.0851123284324764,g,1
12.875000000000945,-1.087701623377562,g,1
12.916666666667602,-1.0902901855595708,g,1
12.958333333334267,-1.0928785535658712,g,1
13.000000000000945,-1.0954662706614613,g,1
13.041666666667602,-1.0980532662429958,g,1
13.083333333334274,-1.100639790512755,g,1
13.125000000000945,-1.1032253035196575,g,1
13.16666666666761,-1.1058108000148152,g,1
13.208333333334288,-1.1083955254323072,g,1
13.250000000000938,-1.1109798229833672,g,1
13.291666666667616,-1.1135635531952985,g,1
13.333333333334288,-1.116146855985896,g,1
13.375000000000952,-1.1187290544749615,g,1
13.416666666667624,-1.1213111134815321,g,1
13.458333333334288,-1.12389246025662,g,1
13.50000000000096,-1.126473090701186,g,1
13.54166666666763,-1.129053157052958,g,1
13.583333333334288,-1.1316326876187048,g,1
13.625000000000945,-1.1342117655789146,g,1
13.666666666667624,-1.1367899131181929,g,1
13.708333333334302,-1.1393677595347889,g,1
13.750000000000966,-1.141944770360304,g,1
13.791666666667616,-1.144521293956494,g,1
13.833333333334295,-1.1470972982374548,g,1
13.875000000000973,-1.1496727279307954,g,1
13.916666666667624,-1.1522473032790685,g,1
13.958333333334295,-1.1548214265635508,g,1
14.000000000000973,-1.1573946868823235,g,1
14.041666666667638,-1.15996774381318,g,1
14.083333333334302,-1.1625397820370935,g,1
14.12500000000096,-1.165111375918098,g,1
14.166666666667638,-1.1676826311753672,g,1
14.208333333334316,-1.1702530259459607,g,1
14.250000000000966,-1.1728224151533837,g,1
14.29166666666763,-1.17539179908891,g,1
14.333333333334316,-1.1779602099345574,g,1
14.375000000000988,-1.1805275959409016,g,1
14.416666666667645,-1.1830951683362017,g,1
14.458333333334302,-1.1856614069804898,g,1
14.50000000000098,-1.1882274332144824,g,1
14.541666666667652,-1.1907924280644586,g,1
14.58333333333431,-1.1933571355508015,g,1
14.62500000000098,-1.1959210425989824,g,1
14.666666666667645,-1.1984842337426258,g,1
14.708333333334323,-1.2010466886966569,g,1
14.750000000000995,-1.2036087255916676,g,1
14.791666666667645,-1.2061701463533652,g,1
14.833333333334316,-1.2087306861734852,g,1
14.875000000000988,-1.211290548468643,g,1
14.916666666667666,-1.2138499243137666,g,1
14.958333333334316,-1.2164084927777523,g,1
15.000000000001002,-1.2189660909752007,g,1
15.041666666667666,-1.2215237253801696,g,1
15.08333333333433,-1.2240802524512482,g,1
15.125000000001002,-1.226636326718694,g,1
15.166666666667659,-1.229191612987151,g,1
15.208333333334338,-1.231745802138711,g,1
15.250000000001002,-1.234299974656146,g,1
15.291666666667673,-1.2368531579470918,g,1
15.333333333334338,-1.23940550517165,g,1
15.375000000001002,-1.2419573851450991,g,1
15.416666666667673,-1.244508479275975,g,1
15.45833333333433,-1.2470588769869337,g,1
15.500000000001002,-1.2496089460120778,g,1
15.541666666667687,-1.2521578144093013,g,1
15.583333333334345,-1.2547061025439774,g,1
15.625000000001016,-1.2572536426207357,g,1
15.666666666667687,-1.2598008812122323,g,1
15.708333333334352,-1.2623469440904316,g,1
15.750000000001016,-1.2648925862237235,g,1
15.791666666667687,-1.2674373850563363,g,1
15.833333333334352,-1.2699815739562723,g,1
15.875000000001023,-1.2725251810788656,g,1
15.916666666667687,-1.275067903244814,g,1
15.958333333334352,-1.2776102084846812,g,1
16.000000000001023,-1.2801514400413403,g,1
16.041666666667695,-1.2826917617516536,g,1
16.08333333333436,-1.285231846495261,g,1
16.125000000001016,-1.2877710554729624,g,1
16.166666666667695,-1.2903093990432666,g,1
16.208333333334373,-1.292847324395126,g,1
